#v_mps, ax_max_machines_mps2
0.00,7.5
0.25,7.5
0.50,7.5
0.75,7.5
1.00,7.5
1.25,7.5
1.50,7.5
1.75,7.5
2.00,7.5
2.25,7.5
2.50,7.5
2.75,7.5
3.00,7.5
3.25,7.5
3.50,7.5
3.75,7.5
4.00,7.5
4.25,7.5
4.50,7.5
4.75,7.5
5.00,7.5
5.25,7.5
5.50,7.5
5.75,7.5
6.00,7.5
6.25,7.5
6.50,7.5
6.75,7.5
7.00,7.5
7.25,7.5
7.50,7.5
7.75,7.5
8.00,7.5
8.25,7.5
8.50,7.5
8.75,7.5
9.00,7.5
9.25,7.5
9.50,7.5
9.75,7.5
10.00,7.5
10.25,7.5
10.50,7.5
10.75,7.5
11.00,7.5
11.25,7.5
11.50,7.5
11.75,7.5
12.00,7.5
12.25,7.5
12.50,7.5
12.75,7.5
13.00,7.5
13.25,7.5
14.20,7.5
13.75,7.5
14.00,7.5
14.25,7.5
14.50,7.5
14.75,7.5
15.00,7.5
