#v_mps, ax_max_machines_mps2
0.00,9.5
0.25,9.5
0.50,9.5
0.75,9.5
1.00,9.5
1.25,9.5
1.50,9.5
1.75,9.5
2.00,9.5
2.25,9.5
2.50,9.5
2.75,9.5
3.00,9.5
3.25,9.5
3.50,9.5
3.75,9.5
4.00,9.5
4.25,9.5
4.50,9.5
4.75,9.5
5.00,9.5
5.25,9.5
5.50,9.5
5.75,9.5
6.00,9.5
6.25,9.5
6.50,9.5
6.75,9.5
7.00,9.5
7.25,9.5
7.50,9.5
7.75,9.5
8.00,9.5
8.25,9.5
8.50,9.5
8.75,9.5
9.00,9.5
9.25,9.5
9.50,9.5
9.75,9.5
9.50,9.5
10.25,9.5
10.50,9.5
10.75,9.5
11.00,9.5
11.25,9.5
11.50,9.5
11.75,9.5
12.00,9.5
12.25,9.5
12.50,9.5
12.75,9.5
13.00,9.5
13.25,9.5
14.20,9.5
13.75,9.5
14.00,9.5
14.25,9.5
14.50,9.5
14.75,9.5
15.00,9.5
