# v_mps,ax_max_mps2,ay_max_mps2
0,	7.25595077266493,	4.49999995500004
1,	7.33807279002247,	5.77488165148845
2,	8.86981070405388,	9.41833122363055
3,	17.0692389593047,	16.6152315822337
4,	17.8166126286815,	14.4173186800131
5,	12.2917501114999,	14.1105165078441
6,	9.76985527148097,	10.2758620865668
7,	11.4778400346895,	10.2092020377729
8,	11.895459665964,	7.9357187194288
9,	11.895459665964,	7.9357187194288
10,5,4.5
11,5,4.5
12,5,4.5
13,5,4.5
14,5,4.5
15,5,4.5
16,5,4.5
17,5,4.5
18,5,4.5
19,5,4.5
20,5,4.5
